id,firstName,lastName,birthdate,nationality,sex,ssn,email,cellular,address1,address2,state,city,zip
1,Name1,LastName1,2023-07-23 12:51:52,Nationality1,M,000-00-0000,1mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
2,Name2,LastName2,2023-07-23 12:51:52,Nationality2,M,000-00-0000,2mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
3,Name3,LastName3,2023-07-23 12:51:52,Nationality3,M,000-00-0000,3mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
4,Name4,LastName4,2023-07-23 12:51:52,Nationality4,M,000-00-0000,4mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
5,Name5,LastName5,2023-07-23 12:51:52,Nationality5,M,000-00-0000,5mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
6,Name6,LastName6,2023-07-23 12:51:52,Nationality6,M,000-00-0000,6mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
7,Name7,LastName7,2023-07-23 12:51:52,Nationality7,M,000-00-0000,7mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
8,Name8,LastName8,2023-07-23 12:51:52,Nationality8,M,000-00-0000,8mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
9,Name9,LastName9,2023-07-23 12:51:52,Nationality9,M,000-00-0000,9mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
10,Name10,LastName10,2023-07-23 12:51:52,Nationality10,M,000-00-0000,10mail@mail.com,111-111-1111,AddressLine1,AddressLine2,TX,Plano,75024
